Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Wind Direction (Day),Sky Cover,Relative Humidity,Average Wind Speed (Period),Average Barometric Pressure (Period),Power Generated,day_of_year_sin,day_of_year_cos,hour_sin,hour_cos
1,0.067708333,77,29,0,49,5.0,29.78,27963,-0.9106046300942162,-0.4132786077829044,-0.2588190451025208,-0.9659258262890684
1,0.302083333,77,29,0,19,22.0,29.75,14980,-0.9106046300942162,-0.4132786077829044,-0.8660254037844385,-0.5000000000000004
1,0.536458333,77,29,0,51,15.0,29.76,423,-0.9106046300942162,-0.4132786077829044,-0.9659258262890684,0.2588190451025203
0,0.770833333,77,29,0,37,8.0,29.79,0,-0.9106046300942162,-0.4132786077829044,-0.5000000000000004,0.8660254037844384
0,0.870925684,75,30,1,57,6.0,29.78,0,-0.9175836260593934,-0.3975428142825566,0.2588190451025207,0.9659258262890684
0,0.636245111,75,30,1,73,3.0,29.78,0,-0.9175836260593934,-0.3975428142825566,0.8660254037844386,0.5000000000000001
1,0.401564537,75,30,1,52,3.0,29.81,4562,-0.9175836260593934,-0.3975428142825566,0.9659258262890684,-0.2588190451025206
1,0.166883963,75,30,1,66,3.0,29.82,22761,-0.9175836260593934,-0.3975428142825566,0.4999999999999999,-0.8660254037844387
1,0.06779661,75,30,0,29,16.0,29.79,28193,-0.9175836260593934,-0.3975428142825566,-0.2588190451025208,-0.9659258262890684
1,0.302477184,75,30,0,39,18.0,29.75,14835,-0.9175836260593934,-0.3975428142825566,-0.8660254037844385,-0.5000000000000004
1,0.537157757,75,30,0,57,14.0,29.74,375,-0.9175836260593934,-0.3975428142825566,-0.9659258262890684,0.2588190451025203
0,0.771838331,75,30,0,65,8.0,29.76,0,-0.9175836260593934,-0.3975428142825566,-0.5000000000000004,0.8660254037844384
0,0.873036649,62,29,1,81,8.0,29.76,0,-0.9242907221930934,-0.3816892202666586,0.2588190451025207,0.9659258262890684
0,0.637434555,62,29,1,87,7.0,29.74,0,-0.9242907221930934,-0.3816892202666586,0.8660254037844386,0.5000000000000001
1,0.401832461,62,29,1,84,8.0,29.76,2963,-0.9242907221930934,-0.3816892202666586,0.9659258262890684,-0.2588190451025206
1,0.166230366,62,29,1,68,14.0,29.77,24553,-0.9242907221930934,-0.3816892202666586,0.4999999999999999,-0.8660254037844387
1,0.069371728,62,29,1,61,22.0,29.73,29986,-0.9242907221930934,-0.3816892202666586,-0.2588190451025208,-0.9659258262890684
1,0.304973822,62,29,1,70,25.0,29.71,15403,-0.9242907221930934,-0.3816892202666586,-0.8660254037844385,-0.5000000000000004
1,0.540575916,62,29,1,87,22.0,29.73,379,-0.9242907221930934,-0.3816892202666586,-0.9659258262890684,0.2588190451025203
0,0.77617801,62,29,1,90,13.0,29.75,0,-0.9242907221930934,-0.3816892202666586,-0.5000000000000004,0.8660254037844384
0,0.875328084,64,31,3,90,7.0,29.76,0,-0.9307239310379792,-0.3657225234972692,0.2588190451025207,0.9659258262890684
0,0.639107612,64,31,4,87,5.0,29.75,0,-0.9307239310379792,-0.3657225234972692,0.8660254037844386,0.5000000000000001
1,0.402887139,64,31,4,87,0.0,29.77,249,-0.9307239310379792,-0.3657225234972692,0.9659258262890684,-0.2588190451025206
1,0.166666667,64,31,1,73,5.0,29.78,9910,-0.9307239310379792,-0.3657225234972692,0.4999999999999999,-0.8660254037844387
1,0.069553806,64,31,1,59,10.0,29.75,28515,-0.9307239310379792,-0.3657225234972692,-0.2588190451025208,-0.9659258262890684
1,0.305774278,64,31,1,61,14.0,29.7,17490,-0.9307239310379792,-0.3657225234972692,-0.8660254037844385,-0.5000000000000004
1,0.541994751,64,31,1,73,6.0,29.72,773,-0.9307239310379792,-0.3657225234972692,-0.9659258262890684,0.2588190451025203
0,0.778215223,64,31,1,87,6.0,29.75,0,-0.9307239310379792,-0.3657225234972692,-0.5000000000000004,0.8660254037844384
0,0.878787879,63,21,3,84,7.0,29.76,0,-0.9368813462954316,-0.3496474552512282,0.2588190451025207,0.9659258262890684
0,0.641633729,63,21,3,78,7.0,29.75,0,-0.9368813462954316,-0.3496474552512282,0.8660254037844386,0.5000000000000001
1,0.404479578,63,21,4,81,8.0,29.78,65,-0.9368813462954316,-0.3496474552512282,0.9659258262890684,-0.2588190451025206
1,0.167325428,63,21,4,73,5.0,29.8,5219,-0.9368813462954316,-0.3496474552512282,0.4999999999999999,-0.8660254037844387
1,0.069828722,63,21,1,63,15.0,29.76,10789,-0.9368813462954316,-0.3496474552512282,-0.2588190451025208,-0.9659258262890684
1,0.306982872,63,21,1,68,20.0,29.74,5208,-0.9368813462954316,-0.3496474552512282,-0.8660254037844385,-0.5000000000000004
1,0.544137022,63,21,1,78,7.0,29.74,60,-0.9368813462954316,-0.3496474552512282,-0.9659258262890684,0.2588190451025203
0,0.781291173,63,21,3,81,13.0,29.76,0,-0.9368813462954316,-0.3496474552512282,-0.5000000000000004,0.8660254037844384
0,0.880952381,64,28,3,81,7.0,29.76,0,-0.9427611433904206,-0.333468778918187,0.2588190451025207,0.9659258262890684
0,0.642857143,64,28,4,81,7.0,29.77,0,-0.9427611433904206,-0.333468778918187,0.8660254037844386,0.5000000000000001
1,0.404761905,64,28,4,78,7.0,29.8,1346,-0.9427611433904206,-0.333468778918187,0.9659258262890684,-0.2588190451025206
1,0.166666667,64,28,3,68,3.0,29.84,18380,-0.9427611433904206,-0.333468778918187,0.4999999999999999,-0.8660254037844387
1,0.071428571,64,28,1,59,16.0,29.81,28891,-0.9427611433904206,-0.333468778918187,-0.2588190451025208,-0.9659258262890684
1,0.30952381,64,28,1,63,18.0,29.8,14687,-0.9427611433904206,-0.333468778918187,-0.8660254037844385,-0.5000000000000004
1,0.547619048,64,28,1,81,15.0,29.82,345,-0.9427611433904206,-0.333468778918187,-0.9659258262890684,0.2588190451025203
0,0.785714286,64,28,1,84,8.0,29.85,0,-0.9427611433904206,-0.333468778918187,-0.5000000000000004,0.8660254037844384
0,0.883289125,61,29,2,87,10.0,29.85,0,-0.9483615800121716,-0.3171912885891059,0.2588190451025207,0.9659258262890684
0,0.644562334,61,29,4,87,3.0,29.85,0,-0.9483615800121716,-0.3171912885891059,0.8660254037844386,0.5000000000000001
1,0.405835544,61,29,4,84,3.0,29.87,292,-0.9483615800121716,-0.3171912885891059,0.9659258262890684,-0.2588190451025206
1,0.167108753,61,29,2,73,3.0,29.87,10767,-0.9483615800121716,-0.3171912885891059,0.4999999999999999,-0.8660254037844387
1,0.071618037,61,29,1,68,21.0,29.84,27641,-0.9483615800121716,-0.3171912885891059,-0.2588190451025208,-0.9659258262890684
1,0.310344828,61,29,1,75,23.0,29.81,13835,-0.9483615800121716,-0.3171912885891059,-0.8660254037844385,-0.5000000000000004
1,0.549071618,61,29,1,87,18.0,29.83,145,-0.9483615800121716,-0.3171912885891059,-0.9659258262890684,0.2588190451025203
0,0.787798408,61,29,1,87,10.0,29.86,0,-0.9483615800121716,-0.3171912885891059,-0.5000000000000004,0.8660254037844384
0,0.886817577,60,28,3,90,13.0,29.87,0,-0.9536809966304456,-0.300819807635668,0.2588190451025207,0.9659258262890684
0,0.64713715,60,28,3,83,8.0,29.87,0,-0.9536809966304456,-0.300819807635668,0.8660254037844386,0.5000000000000001
1,0.407456724,60,28,4,86,5.0,29.9,229,-0.9536809966304456,-0.300819807635668,0.9659258262890684,-0.2588190451025206
1,0.167776298,60,28,4,81,7.0,29.93,4349,-0.9536809966304456,-0.300819807635668,0.4999999999999999,-0.8660254037844387
1,0.071904128,60,28,1,68,16.0,29.88,19126,-0.9536809966304456,-0.300819807635668,-0.2588190451025208,-0.9659258262890684
1,0.311584554,60,28,1,73,21.0,29.85,14692,-0.9536809966304456,-0.300819807635668,-0.8660254037844385,-0.5000000000000004
1,0.55126498,60,28,3,80,13.0,29.88,436,-0.9536809966304456,-0.300819807635668,-0.9659258262890684,0.2588190451025203
0,0.790945406,60,28,3,86,9.0,29.9,0,-0.9536809966304456,-0.300819807635668,-0.5000000000000004,0.8660254037844384
0,0.886666667,61,29,3,80,8.0,29.9,0,-0.9587178169872964,-0.2843591872810036,0.2588190451025207,0.9659258262890684
0,0.646666667,61,29,4,80,6.0,29.87,0,-0.9587178169872964,-0.2843591872810036,0.8660254037844386,0.5000000000000001
1,0.406666667,61,29,4,83,5.0,29.9,408,-0.9587178169872964,-0.2843591872810036,0.9659258262890684,-0.2588190451025206
1,0.166666667,61,29,4,72,3.0,29.93,11376,-0.9587178169872964,-0.2843591872810036,0.4999999999999999,-0.8660254037844387
1,0.073333333,61,29,2,61,16.0,29.89,28611,-0.9587178169872964,-0.2843591872810036,-0.2588190451025208,-0.9659258262890684
1,0.313333333,61,29,2,65,17.0,29.86,14587,-0.9587178169872964,-0.2843591872810036,-0.8660254037844385,-0.5000000000000004
1,0.553333333,61,29,1,81,14.0,29.89,239,-0.9587178169872964,-0.2843591872810036,-0.9659258262890684,0.2588190451025203
0,0.793333333,61,29,1,83,7.0,29.93,0,-0.9587178169872964,-0.2843591872810036,-0.5000000000000004,0.8660254037844384
0,0.890227577,62,29,4,83,5.0,29.94,0,-0.9634705485641486,-0.2678143051621748,0.2588190451025207,0.9659258262890684
0,0.649263722,62,29,4,87,3.0,29.94,0,-0.9634705485641486,-0.2678143051621748,0.8660254037844386,0.5000000000000001
1,0.408299866,62,29,4,84,5.0,29.97,250,-0.9634705485641486,-0.2678143051621748,0.9659258262890684,-0.2588190451025206
1,0.167336011,62,29,3,73,7.0,30.0,15149,-0.9634705485641486,-0.2678143051621748,0.4999999999999999,-0.8660254037844387
1,0.073627845,62,29,1,63,15.0,29.96,28581,-0.9634705485641486,-0.2678143051621748,-0.2588190451025208,-0.9659258262890684
1,0.3145917,62,29,1,68,21.0,29.94,13787,-0.9634705485641486,-0.2678143051621748,-0.8660254037844385,-0.5000000000000004
1,0.555555556,62,29,1,78,18.0,29.97,218,-0.9634705485641486,-0.2678143051621748,-0.9659258262890684,0.2588190451025203
0,0.796519411,62,29,1,83,13.0,29.99,0,-0.9634705485641486,-0.2678143051621748,-0.5000000000000004,0.8660254037844384
0,0.89261745,60,28,3,86,9.0,29.99,0,-0.9679377830240642,-0.2511900638848195,0.2588190451025207,0.9659258262890684
0,0.651006711,60,28,4,87,7.0,29.97,0,-0.9679377830240642,-0.2511900638848195,0.8660254037844386,0.5000000000000001
1,0.409395973,60,28,4,90,7.0,30.01,413,-0.9679377830240642,-0.2511900638848195,0.9659258262890684,-0.2588190451025206
1,0.167785235,60,28,3,78,5.0,30.01,17412,-0.9679377830240642,-0.2511900638848195,0.4999999999999999,-0.8660254037844387
1,0.073825503,60,28,1,63,16.0,29.95,28239,-0.9679377830240642,-0.2511900638848195,-0.2588190451025208,-0.9659258262890684
1,0.315436242,60,28,1,70,22.0,29.92,13397,-0.9679377830240642,-0.2511900638848195,-0.8660254037844385,-0.5000000000000004
1,0.55704698,60,28,1,83,18.0,29.94,193,-0.9679377830240642,-0.2511900638848195,-0.9659258262890684,0.2588190451025203
0,0.798657718,60,28,1,90,13.0,29.96,0,-0.9679377830240642,-0.2511900638848195,-0.5000000000000004,0.8660254037844384
0,0.894878706,59,28,2,90,11.0,29.97,0,-0.9721181966290612,-0.2344913895704105,0.2588190451025207,0.9659258262890684
0,0.652291105,59,28,3,83,9.0,29.96,0,-0.9721181966290612,-0.2344913895704105,0.8660254037844386,0.5000000000000001
1,0.409703504,59,28,4,83,9.0,29.97,685,-0.9721181966290612,-0.2344913895704105,0.9659258262890684,-0.2588190451025206
1,0.167115903,59,28,3,72,7.0,29.98,16170,-0.9721181966290612,-0.2344913895704105,0.4999999999999999,-0.8660254037844387
1,0.075471698,59,28,1,63,21.0,29.94,28148,-0.9721181966290612,-0.2344913895704105,-0.2588190451025208,-0.9659258262890684
1,0.318059299,59,28,2,67,20.0,29.92,13455,-0.9721181966290612,-0.2344913895704105,-0.8660254037844385,-0.5000000000000004
1,0.5606469,59,28,1,80,14.0,29.95,198,-0.9721181966290612,-0.2344913895704105,-0.9659258262890684,0.2588190451025203
0,0.803234501,59,28,2,78,11.0,29.99,0,-0.9721181966290612,-0.2344913895704105,-0.5000000000000004,0.8660254037844384
0,0.897297297,62,24,4,75,10.0,30.0,0,-0.9760105506323682,-0.2177232303965322,0.2588190451025207,0.9659258262890684
0,0.654054054,62,24,4,72,7.0,29.99,0,-0.9760105506323682,-0.2177232303965322,0.8660254037844386,0.5000000000000001
1,0.410810811,62,24,4,70,3.0,30.03,332,-0.9760105506323682,-0.2177232303965322,0.9659258262890684,-0.2588190451025206
1,0.167567568,62,24,4,63,10.0,30.07,5866,-0.9760105506323682,-0.2177232303965322,0.4999999999999999,-0.8660254037844387
1,0.075675676,62,24,2,52,10.0,30.04,22094,-0.9760105506323682,-0.2177232303965322,-0.2588190451025208,-0.9659258262890684
1,0.318918919,62,24,0,54,17.0,30.01,13893,-0.9760105506323682,-0.2177232303965322,-0.8660254037844385,-0.5000000000000004
1,0.562162162,62,24,0,70,9.0,30.0,154,-0.9760105506323682,-0.2177232303965322,-0.9659258262890684,0.2588190451025203
0,0.805405405,62,24,0,72,6.0,30.01,0,-0.9760105506323682,-0.2177232303965322,-0.5000000000000004,0.8660254037844384
0,0.900949796,60,26,1,78,6.0,30.01,0,-0.97961369164549,-0.2008905551306352,0.2588190451025207,0.9659258262890684
0,0.656716418,60,26,1,86,0.0,29.99,0,-0.97961369164549,-0.2008905551306352,0.8660254037844386,0.5000000000000001
1,0.412483039,60,26,1,83,0.0,30.02,4342,-0.97961369164549,-0.2008905551306352,0.9659258262890684,-0.2588190451025206
1,0.168249661,60,26,1,56,10.0,30.05,24175,-0.97961369164549,-0.2008905551306352,0.4999999999999999,-0.8660254037844387
1,0.075983718,60,26,0,49,15.0,30.02,29378,-0.97961369164549,-0.2008905551306352,-0.2588190451025208,-0.9659258262890684
1,0.320217096,60,26,0,51,15.0,29.98,13686,-0.97961369164549,-0.2008905551306352,-0.8660254037844385,-0.5000000000000004
1,0.564450475,60,26,1,65,8.0,29.96,112,-0.97961369164549,-0.2008905551306352,-0.9659258262890684,0.2588190451025203
0,0.808683853,60,26,0,67,6.0,29.98,0,-0.97961369164549,-0.2008905551306352,-0.5000000000000004,0.8660254037844384
0,0.902040816,63,21,1,78,3.0,29.99,0,-0.9829265519799822,-0.1839983516576798,0.2588190451025207,0.9659258262890684
0,0.657142857,63,21,1,80,5.0,29.98,0,-0.9829265519799822,-0.1839983516576798,0.8660254037844386,0.5000000000000001
1,0.412244898,63,21,1,80,3.0,29.99,4232,-0.9829265519799822,-0.1839983516576798,0.9659258262890684,-0.2588190451025206
1,0.167346939,63,21,1,63,9.0,30.0,22783,-0.9829265519799822,-0.1839983516576798,0.4999999999999999,-0.8660254037844387
1,0.07755102,63,21,3,61,9.0,29.98,24479,-0.9829265519799822,-0.1839983516576798,-0.2588190451025208,-0.9659258262890684
1,0.32244898,63,21,4,63,10.0,29.97,1628,-0.9829265519799822,-0.1839983516576798,-0.8660254037844385,-0.5000000000000004
1,0.567346939,63,21,4,81,11.0,29.98,0,-0.9829265519799822,-0.1839983516576798,-0.9659258262890684,0.2588190451025203
0,0.812244898,63,21,3,81,6.0,29.99,0,-0.9829265519799822,-0.1839983516576798,-0.5000000000000004,0.8660254037844384
0,0.904502046,65,28,4,87,8.0,30.01,0,-0.9859481499638304,-0.1670516255021195,0.2588190451025207,0.9659258262890684
0,0.65893588,65,28,4,90,8.0,30.01,0,-0.9859481499638304,-0.1670516255021195,0.8660254037844386,0.5000000000000001
1,0.413369714,65,28,4,84,6.0,30.03,650,-0.9859481499638304,-0.1670516255021195,0.9659258262890684,-0.2588190451025206
1,0.167803547,65,28,4,70,9.0,30.05,9141,-0.9859481499638304,-0.1670516255021195,0.4999999999999999,-0.8660254037844387
1,0.077762619,65,28,2,63,11.0,30.03,25527,-0.9859481499638304,-0.1670516255021195,-0.2588190451025208,-0.9659258262890684
1,0.323328786,65,28,3,75,15.0,30.01,12847,-0.9859481499638304,-0.1670516255021195,-0.8660254037844385,-0.5000000000000004
1,0.568894952,65,28,4,87,14.0,30.0,122,-0.9859481499638304,-0.1670516255021195,-0.9659258262890684,0.2588190451025203
0,0.814461119,65,28,3,87,15.0,30.0,0,-0.9859481499638304,-0.1670516255021195,-0.5000000000000004,0.8660254037844384
0,0.906849315,63,27,3,87,8.0,29.97,0,-0.9886775902323404,-0.1500553983446526,0.2588190451025207,0.9659258262890684
0,0.660273973,63,27,3,81,13.0,29.96,0,-0.9886775902323404,-0.1500553983446526,0.8660254037844386,0.5000000000000001
1,0.41369863,63,27,4,84,8.0,29.98,997,-0.9886775902323404,-0.1500553983446526,0.9659258262890684,-0.2588190451025206
1,0.167123288,63,27,2,70,10.0,29.99,12786,-0.9886775902323404,-0.1500553983446526,0.4999999999999999,-0.8660254037844387
1,0.079452055,63,27,2,65,20.0,29.97,28277,-0.9886775902323404,-0.1500553983446526,-0.2588190451025208,-0.9659258262890684
1,0.326027397,63,27,2,70,24.0,29.96,12816,-0.9886775902323404,-0.1500553983446526,-0.8660254037844385,-0.5000000000000004
1,0.57260274,63,27,1,78,16.0,29.94,81,-0.9886775902323404,-0.1500553983446526,-0.9659258262890684,0.2588190451025203
0,0.819178082,63,27,1,84,11.0,29.96,0,-0.9886775902323404,-0.1500553983446526,-0.5000000000000004,0.8660254037844384
0,0.909340659,66,29,1,87,0.0,29.96,0,-0.9911140639934546,-0.1330147065341963,0.2588190451025207,0.9659258262890684
0,0.662087912,66,29,0,86,3.0,29.95,0,-0.9911140639934546,-0.1330147065341963,0.8660254037844386,0.5000000000000001
1,0.414835165,66,29,1,81,0.0,30.0,4026,-0.9911140639934546,-0.1330147065341963,0.9659258262890684,-0.2588190451025206
1,0.167582418,66,29,1,70,5.0,30.02,23081,-0.9911140639934546,-0.1330147065341963,0.4999999999999999,-0.8660254037844387
1,0.07967033,66,29,1,34,16.0,29.99,27284,-0.9911140639934546,-0.1330147065341963,-0.2588190451025208,-0.9659258262890684
1,0.326923077,66,29,0,48,17.0,29.96,12287,-0.9911140639934546,-0.1330147065341963,-0.8660254037844385,-0.5000000000000004
1,0.574175824,66,29,1,70,16.0,29.95,79,-0.9911140639934546,-0.1330147065341963,-0.9659258262890684,0.2588190451025203
0,0.821428571,66,29,0,78,8.0,29.97,0,-0.9911140639934546,-0.1330147065341963,-0.5000000000000004,0.8660254037844384
0,0.913103448,69,29,0,81,6.0,29.97,0,-0.9932568492674144,-0.1159345995955006,0.2588190451025207,0.9659258262890684
0,0.664827586,69,29,0,75,3.0,29.96,0,-0.9932568492674144,-0.1159345995955006,0.8660254037844386,0.5000000000000001
1,0.416551724,69,29,1,84,3.0,29.98,3974,-0.9932568492674144,-0.1159345995955006,0.9659258262890684,-0.2588190451025206
1,0.168275862,69,29,0,73,5.0,29.99,23119,-0.9932568492674144,-0.1159345995955006,0.4999999999999999,-0.8660254037844387
1,0.08,69,29,0,66,6.0,29.94,26858,-0.9932568492674144,-0.1159345995955006,-0.2588190451025208,-0.9659258262890684
1,0.328275862,69,29,0,37,21.0,29.9,12109,-0.9932568492674144,-0.1159345995955006,-0.8660254037844385,-0.5000000000000004
1,0.576551724,69,29,0,56,18.0,29.91,65,-0.9932568492674144,-0.1159345995955006,-0.9659258262890684,0.2588190451025203
0,0.824827586,69,29,0,75,11.0,29.94,0,-0.9932568492674144,-0.1159345995955006,-0.5000000000000004,0.8660254037844384
0,0.914246196,66,29,0,84,3.0,29.94,0,-0.9951053111006974,-0.0988201387328721,0.2588190451025207,0.9659258262890684
0,0.665283541,66,29,0,90,5.0,29.92,0,-0.9951053111006974,-0.0988201387328721,0.8660254037844386,0.5000000000000001
1,0.416320885,66,29,1,90,5.0,29.94,3749,-0.9951053111006974,-0.0988201387328721,0.9659258262890684,-0.2588190451025206
1,0.16735823,66,29,1,66,3.0,29.95,22695,-0.9951053111006974,-0.0988201387328721,0.4999999999999999,-0.8660254037844387
1,0.081604426,66,29,1,51,13.0,29.92,27114,-0.9951053111006974,-0.0988201387328721,-0.2588190451025208,-0.9659258262890684
1,0.330567082,66,29,1,49,16.0,29.89,12017,-0.9951053111006974,-0.0988201387328721,-0.8660254037844385,-0.5000000000000004
1,0.579529737,66,29,1,56,16.0,29.89,59,-0.9951053111006974,-0.0988201387328721,-0.9659258262890684,0.2588190451025203
0,0.828492393,66,29,0,62,11.0,29.92,0,-0.9951053111006974,-0.0988201387328721,-0.5000000000000004,0.8660254037844384
0,0.918055556,67,29,0,67,3.0,29.91,0,-0.99665890175417,-0.0816763953304228,0.2588190451025207,0.9659258262890684
0,0.668055556,67,29,0,80,6.0,29.9,0,-0.99665890175417,-0.0816763953304228,0.8660254037844386,0.5000000000000001
1,0.418055556,67,29,2,70,0.0,29.93,3894,-0.99665890175417,-0.0816763953304228,0.9659258262890684,-0.2588190451025206
1,0.168055556,67,29,2,63,7.0,29.95,23066,-0.99665890175417,-0.0816763953304228,0.4999999999999999,-0.8660254037844387
1,0.081944444,67,29,2,47,15.0,29.91,27072,-0.99665890175417,-0.0816763953304228,-0.2588190451025208,-0.9659258262890684
1,0.331944444,67,29,2,57,21.0,29.88,11864,-0.99665890175417,-0.0816763953304228,-0.8660254037844385,-0.5000000000000004
1,0.581944444,67,29,1,70,11.0,29.89,51,-0.99665890175417,-0.0816763953304228,-0.9659258262890684,0.2588190451025203
0,0.831944444,67,29,0,81,8.0,29.91,0,-0.99665890175417,-0.0816763953304228,-0.5000000000000004,0.8660254037844384
0,0.919332406,66,29,0,81,6.0,29.91,0,-0.9979171608653922,-0.0645084494493162,0.2588190451025207,0.9659258262890684
0,0.668984701,66,29,0,87,7.0,29.9,0,-0.9979171608653922,-0.0645084494493162,0.8660254037844386,0.5000000000000001
1,0.418636996,66,29,2,84,6.0,29.93,3661,-0.9979171608653922,-0.0645084494493162,0.9659258262890684,-0.2588190451025206
1,0.168289291,66,29,1,68,6.0,29.95,22534,-0.9979171608653922,-0.0645084494493162,0.4999999999999999,-0.8660254037844387
1,0.082058414,66,29,1,50,13.0,29.91,26744,-0.9979171608653922,-0.0645084494493162,-0.2588190451025208,-0.9659258262890684
1,0.33240612,66,29,1,68,18.0,29.9,11627,-0.9979171608653922,-0.0645084494493162,-0.8660254037844385,-0.5000000000000004
1,0.582753825,66,29,1,90,15.0,29.92,43,-0.9979171608653922,-0.0645084494493162,-0.9659258262890684,0.2588190451025203
0,0.83310153,66,29,1,90,10.0,29.94,0,-0.9979171608653922,-0.0645084494493162,-0.5000000000000004,0.8660254037844384
0,0.921787709,66,29,1,90,10.0,29.95,0,-0.9988797155850336,-0.0473213883224323,0.2588190451025207,0.9659258262890684
0,0.670391061,66,29,1,93,3.0,29.93,0,-0.9988797155850336,-0.0473213883224323,0.8660254037844386,0.5000000000000001
1,0.418994413,66,29,1,93,6.0,29.95,3615,-0.9988797155850336,-0.0473213883224323,0.9659258262890684,-0.2588190451025206
